dataset,model,instance_idx,method,spearman_mean,spearman_std,mse_mean,mse_std,n_budget,k_runs
adult,ridge,2,dirichlet_strong,0.9500366300366302,0.05837481058569025,0.0003182849663214147,0.00026791824014750596,5000,30
adult,ridge,2,b1_uniform,0.9781684981684983,0.010054528037683624,7.668728118349831e-05,3.5388758827162016e-05,5000,30
adult,ridge,2,b2_stratified,0.9894505494505494,0.007051258265503849,1.8036980736861976e-05,1.7118441956603087e-05,5000,30
adult,ridge,3,abc_corrected,0.8690109890109892,0.07175658693658714,0.0002520544319118458,0.00023967338948031232,5000,30
adult,ridge,3,dirichlet_strong,0.8832234432234433,0.07502360901649957,0.0002621564534119542,0.000268701103747817,5000,30
adult,ridge,3,b1_uniform,0.9431501831501831,0.030303823638493814,6.865959706002423e-05,4.2306900232351166e-05,5000,30
adult,ridge,3,b2_stratified,0.9815384615384616,0.010610324975959921,1.9895660556887094e-05,1.2530151894701563e-05,5000,30
adult,ridge,4,abc_corrected,0.9605860805860807,0.047321470881139895,0.0003194330739117855,0.00024354522796923487,5000,30
adult,ridge,4,dirichlet_strong,0.9765567765567766,0.04534555906094217,0.0002711608947382416,0.00026149821489006384,5000,30
adult,ridge,4,b1_uniform,0.934945054945055,0.031907768706382296,0.0004202487129603404,0.00012810409978189648,5000,30
adult,ridge,4,b2_stratified,0.9976556776556776,0.0027175438814639663,1.9069112641366313e-05,1.5059130617101642e-05,5000,30
adult,ridge,5,abc_corrected,0.9810989010989012,0.016016334293941024,9.229820924719514e-05,9.770542329659556e-05,5000,30
adult,ridge,5,dirichlet_strong,0.9692307692307693,0.01580788742477503,0.00019502775278614398,0.00012702796892750587,5000,30
adult,ridge,5,b1_uniform,0.9853479853479854,0.006250763079179909,2.9247374902934485e-05,1.7546079294440766e-05,5000,30
adult,ridge,5,b2_stratified,0.9953113553113553,0.004081578982324998,8.686541217546651e-06,6.970558849785824e-06,5000,30
adult,ridge,6,abc_corrected,0.9241025641025641,0.06417114071257332,0.0005278787525865004,0.0003461366339405004,5000,30
